0.01, 10, 400, 2845.562075323504
0.01, 25, 160, 2835.6619693582006
0.01, 50, 80, 2843.2134032474137
0.01, 125, 32, 2843.2628578550534
0.01, 250, 16, 2841.574251784176
0.01, 500, 8, 2848.196180401938
0.01, 1000, 4, 2855.8209124145637
0.01, 2000, 2, 2850.343896493275
0.01, 4000, 1, 2846.0553174968527
0.025, 10, 400, 2839.482178460218
0.025, 25, 160, 2835.5519340043697
0.025, 50, 80, 2829.6907098113657
0.025, 125, 32, 2840.9251739492665
0.025, 250, 16, 2843.7546325299827
0.025, 500, 8, 2832.5080776609557
0.025, 1000, 4, 2853.732817905289
0.025, 2000, 2, 2843.123530360899
0.025, 4000, 1, 2847.2930907675636
0.05, 10, 400, 2828.927249224656
0.05, 25, 160, 2838.6442991644185
0.05, 50, 80, 2844.736042997867
0.05, 125, 32, 2848.1244710452397
0.05, 250, 16, 2850.7520589088026
0.05, 500, 8, 2846.024612657747
0.05, 1000, 4, 2842.6764694056405
0.05, 2000, 2, 2844.3883269611188
0.05, 4000, 1, 2842.755923979309
0.075, 10, 400, 2826.4584942598235
0.075, 25, 160, 2843.0237018093762
0.075, 50, 80, 2845.298097358748
0.075, 125, 32, 2843.894547368197
0.075, 250, 16, 2835.329297305563
0.075, 500, 8, 2841.282812855059
0.075, 1000, 4, 2837.391300045924
0.075, 2000, 2, 2843.1360987049866
0.075, 4000, 1, 2843.2739007022037
0.1, 10, 400, 2826.653847827823
0.1, 25, 160, 2838.6243508688335
0.1, 50, 80, 2837.838382619539
0.1, 125, 32, 2835.569317110844
0.1, 250, 16, 2836.6840082504777
0.1, 500, 8, 2846.3308476211655
0.1, 1000, 4, 2838.2486163279113
0.1, 2000, 2, 2834.103038423657
0.1, 4000, 1, 2831.5983158940357
0.15, 10, 400, 2829.7811553217184
0.15, 25, 160, 2835.4719055696573
0.15, 50, 80, 2826.6730043541997
0.15, 125, 32, 2829.0825287334933
0.15, 250, 16, 2827.032917637909
0.15, 500, 8, 2830.5450926473295
0.15, 1000, 4, 2823.3102327380006
0.15, 2000, 2, 2827.5139461952126
0.15, 4000, 1, 2828.545469924495
0.2, 10, 400, 2832.9322132515663
0.2, 25, 160, 2835.4309132024864
0.2, 50, 80, 2830.4147859177215
0.2, 125, 32, 2828.012118612417
0.2, 250, 16, 2812.097480899505
0.2, 500, 8, 2819.914347857815
0.2, 1000, 4, 2824.6195279267226
0.2, 2000, 2, 2808.597315327619
0.2, 4000, 1, 2813.8454984624786
0.5, 10, 400, 2827.691257859134
0.5, 25, 160, 2814.7648305724438
0.5, 50, 80, 2802.4150803193506
0.5, 125, 32, 2791.177936517988
0.5, 250, 16, 2783.5544616132393
0.5, 500, 8, 2771.78668615862
0.5, 1000, 4, 2782.935321429729
0.5, 2000, 2, 2773.023623001859
0.5, 4000, 1, 2778.579816218851
1.0, 10, 400, 2821.958787173546
1.0, 25, 160, 2798.6890078845804
1.0, 50, 80, 2772.4510091512725
1.0, 125, 32, 2741.6107240951364
1.0, 250, 16, 2733.0998018919136
1.0, 500, 8, 2720.971591463683
1.0, 1000, 4, 2710.4546243874656
1.0, 2000, 2, 2717.705220923495
1.0, 4000, 1, 2707.5731788505504
1.5, 10, 400, 2811.1279817080213
1.5, 25, 160, 2784.394121471882
1.5, 50, 80, 2747.4882685868465
1.5, 125, 32, 2707.420366315346
1.5, 250, 16, 2679.378384863685
1.5, 500, 8, 2668.9622097663646
1.5, 1000, 4, 2672.2050311863213
1.5, 2000, 2, 2674.479935997785
1.5, 4000, 1, 2672.384759623366
2.0, 10, 400, 2807.97056895619
2.0, 25, 160, 2768.2553357684737
2.0, 50, 80, 2718.813526985569
2.0, 125, 32, 2665.408878860037
2.0, 250, 16, 2650.3313121863057
2.0, 500, 8, 2641.032448360337
2.0, 1000, 4, 2642.559474630432
2.0, 2000, 2, 2631.9762305422855
2.0, 4000, 1, 2630.1180440600233
2.5, 10, 400, 2798.9437276406297
2.5, 25, 160, 2760.3141825716493
2.5, 50, 80, 2699.6023916785057
2.5, 125, 32, 2647.8900793302505
2.5, 250, 16, 2620.280343967857
2.5, 500, 8, 2614.9105242506366
2.5, 1000, 4, 2605.707911191308
2.5, 2000, 2, 2608.9782382348817
2.5, 4000, 1, 2605.162936764775
3.0, 10, 400, 2786.2107919519294
3.0, 25, 160, 2744.4740824692667
3.0, 50, 80, 2688.323456385557
3.0, 125, 32, 2629.1297176089743
3.0, 250, 16, 2607.9876153766977
3.0, 500, 8, 2590.388721177838
3.0, 1000, 4, 2591.084609953611
3.0, 2000, 2, 2581.722422674132
3.0, 4000, 1, 2586.0838828785318
4.0, 10, 400, 2790.719108003352
4.0, 25, 160, 2729.9075126775656
4.0, 50, 80, 2670.3590470279414
4.0, 125, 32, 2601.425310448084
4.0, 250, 16, 2580.017157703426
4.0, 500, 8, 2561.064695334305
4.0, 1000, 4, 2562.0798101463756
4.0, 2000, 2, 2554.376515115735
4.0, 4000, 1, 2549.004165532794
5.0, 10, 400, 2791.4946338449167
5.0, 25, 160, 2722.8095431875677
5.0, 50, 80, 2649.3809146214135
5.0, 125, 32, 2589.2318942091583
5.0, 250, 16, 2560.240199993639
5.0, 500, 8, 2544.423030342052
5.0, 1000, 4, 2541.4413040070644
5.0, 2000, 2, 2541.016883276437
5.0, 4000, 1, 2530.286384111666
7.5, 10, 400, 2770.7373725687025
7.5, 25, 160, 2700.853102827547
7.5, 50, 80, 2629.636780345934
7.5, 125, 32, 2558.182863228917
7.5, 250, 16, 2530.6977505271525
7.5, 500, 8, 2522.427998314577
7.5, 1000, 4, 2511.781545159816
7.5, 2000, 2, 2512.4441778119244
7.5, 4000, 1, 2509.799432351173
10.0, 10, 400, 2776.3358159580284
10.0, 25, 160, 2684.7916876711083
10.0, 50, 80, 2617.3458687231646
10.0, 125, 32, 2546.503067068242
10.0, 250, 16, 2522.0712208018663
10.0, 500, 8, 2507.8586426530746
10.0, 1000, 4, 2504.266597221018
10.0, 2000, 2, 2503.099008980874
10.0, 4000, 1, 2500.293326594115
